Seconds,Barometric_Pressure,O2,FlowSet,Flow_Rate,CO2,Temp__Aux1_,Temp__Aux2_,FoxBoxTemp,Marker
0,84.575,20.211,750,749,0.0162,20.156,19.818,26.68,-1
1,84.575,20.211,750,749,0.0162,20.156,19.818,26.68,-1
2,84.575,20.211,750,749,-0.01578,20.159,19.781,26.68,-1
3,84.575,20.211,750,749,0.01134,20.139,19.802,26.68,-1
4,84.575,20.212,750,749,0.01199,20.153,19.813,26.68,-1
5,84.575,20.212,750,749,0.00513,20.144,19.801,26.68,-1
6,84.575,20.211,750,749,0.02594,20.139,19.768,26.68,-1
7,84.575,20.212,750,749,0.02116,20.161,19.771,27.04,-1
8,84.575,20.212,750,749,0.0026,20.14,19.778,27.51,-1
9,84.574,20.21,750,749,0.00373,20.147,19.779,0,-1
10,84.574,20.211,750,749,0.01767,20.154,19.772,27.24,-1
11,84.574,20.211,750,749,0.0061,20.141,19.751,27.37,-1
12,84.573,20.211,750,749,0.01039,20.154,19.759,27.24,-1
13,84.573,20.211,750,749,0.00667,20.142,19.756,27.14,-1
14,84.574,20.211,750,749,0.00894,20.137,19.768,27.06,-1
15,84.574,20.211,750,749,0.00746,20.157,19.77,26.99,-1
16,84.574,20.21,750,749,0.00082,20.128,19.741,26.93,-1
17,84.574,20.212,750,749,-0.00031,20.135,19.759,26.89,-1
18,84.574,20.21,750,749,-0.0018,20.124,19.767,26.85,-1
19,84.574,20.21,750,749,-0.00029,20.133,19.748,26.82,-1
20,84.574,20.211,750,749,-0.00319,20.131,19.768,26.8,-1
21,84.574,20.21,750,749,-0.00223,20.132,19.779,26.78,-1
22,84.574,20.211,750,749,-0.00198,20.154,19.739,26.76,-1
23,84.574,20.212,750,749,-0.00149,20.139,19.763,26.74,-1
24,84.574,20.211,750,749,-0.00249,20.141,19.776,26.73,-1
25,84.575,20.21,750,749,-0.00161,20.135,19.777,26.72,-1
26,84.574,20.211,750,749,-0.00118,20.136,19.793,26.71,-1
27,84.574,20.211,750,749,-0.00182,20.124,19.783,26.71,-1
28,84.574,20.21,750,749,-0.00152,20.142,19.787,26.7,-1
29,84.575,20.211,750,749,-0.00389,20.137,19.79,26.7,-1
30,84.575,20.21,750,749,-0.00399,20.15,19.785,26.7,-1
31,84.574,20.211,750,749,-0.00443,20.131,19.783,26.7,-1
32,84.574,20.211,750,749,-0.00337,20.147,19.757,26.69,-1
33,84.574,20.209,750,749,0.00239,20.149,19.77,26.69,-1
34,84.574,20.21,750,749,-0.00105,20.126,19.755,26.69,-1
35,84.574,20.211,750,749,-0.00017,20.131,19.738,26.69,-1
36,84.574,20.208,750,749,-0.00124,20.166,19.763,26.69,-1
37,84.574,20.209,750,749,-0.01166,20.137,19.754,26.69,-1
38,84.574,20.209,750,749,-0.00479,20.135,19.754,26.69,-1
39,84.573,20.206,750,749,-0.00482,20.123,19.751,26.69,-1
40,84.573,20.21,750,749,-0.01028,20.131,19.759,26.69,-1
41,84.574,20.21,750,749,-0.0048,20.132,19.755,26.69,-1
42,84.574,20.209,750,749,0.00872,20.146,19.749,26.69,-1
