Seconds,Barometric_Pressure,Flow_Rate,Oxygen,Water_Vapor,Carbon_Dioxide,Marker
93,83.90443,751.1208,19.58747,0.0828919,7.81E-03,-1
94,83.87473,751.1833,19.58645,7.87E-02,7.83E-03,-1
95,83.90286,751.4958,19.58911,7.50E-02,7.89E-03,-1
96,83.89349,750.9333,19.58927,7.18E-02,7.65E-03,-1
97,83.87161,751.1521,19.58809,6.90E-02,7.48E-03,-1
98,83.88255,750.9333,19.5902,6.63E-02,7.25E-03,-1
99,83.88099,751.4333,19.58934,6.37E-02,7.48E-03,-1
100,83.91068,751.3708,19.59192,6.15E-02,7.53E-03,-1
101,83.89505,750.6521,19.59153,5.92E-02,7.46E-03,-1
102,83.89973,750.8083,19.59036,5.74E-02,7.22E-03,-1
103,83.91692,751.4021,19.59388,5.54E-02,7.18E-03,-1
104,83.89973,751.1833,19.5927,5.35E-02,7.19E-03,-1
105,83.90911,751.0583,19.59364,5.18E-02,7.24E-03,-1
106,83.91068,750.7458,19.59145,5.01E-02,7.30E-03,-1
107,83.89973,751.5896,19.59161,4.86E-02,7.03E-03,-1
108,83.88411,751.2771,19.59427,4.71E-02,7.26E-03,-1
109,83.89505,750.9958,19.59255,4.57E-02,7.17E-03,-1
110,83.91849,751.4021,19.59435,4.43E-02,7.08E-03,-1
111,83.86067,751.4021,19.59263,0.0429538,7.43E-03,-1
112,83.88255,751.2146,19.59567,4.18E-02,7.48E-03,-1
113,83.89818,751.1208,19.59528,4.06E-02,7.90E-03,-1
114,83.89505,751.5271,19.59536,3.94E-02,7.50E-03,-1
115,83.90755,751.4333,19.59489,3.81E-02,7.73E-03,-1
116,83.89505,751.2771,19.59427,3.74E-02,7.77E-03,-1
117,83.88411,751.4021,19.59317,0.0364537,7.76E-03,-1
118,83.90755,751.5271,19.59583,3.56E-02,7.80E-03,-1
119,83.90599,750.7771,19.59521,3.47E-02,7.91E-03,-1
120,83.87786,751.3396,19.59372,3.39E-02,8.08E-03,-1
121,83.87473,751.2458,19.5945,3.32E-02,7.97E-03,-1
122,83.9013,751.6208,19.59411,3.27E-02,8.06E-03,-1
123,83.89037,751.4333,19.59528,3.19E-02,8.17E-03,-1
124,83.90286,751.4333,19.59521,3.14E-02,8.15E-03,-1
125,83.89973,750.8083,19.5931,3.09E-02,8.19E-03,-1
126,83.88255,750.9021,19.59348,0.0303911,8.14E-03,-1
127,83.88099,751.3396,19.59427,0.0300161,8.27E-03,-1
128,83.91536,751.3396,19.59528,2.93E-02,7.98E-03,-1
129,83.89973,751.5271,19.59474,2.90E-02,8.49E-03,-1
130,83.91068,751.1833,19.59497,2.86E-02,8.47E-03,-1
131,83.91068,751.5271,19.59513,2.81E-02,8.68E-03,-1
132,83.90755,751.2146,19.59528,2.76E-02,8.78E-03,-1
133,83.9138,751.4958,19.59442,2.72E-02,9.13E-03,-1
134,83.91536,750.8083,19.59333,0.0269223,9.58E-03,-1
135,83.91692,751.2146,19.59474,0.0266098,9.55E-03,-1
136,83.89973,751.4021,19.59435,2.62E-02,9.62E-03,-1
137,83.88879,751.5271,19.59521,2.59E-02,9.53E-03,-1
138,83.90755,751.3083,19.59489,2.58E-02,9.52E-03,-1
139,83.92005,751.4333,19.59442,2.54E-02,9.50E-03,-1
140,83.89505,751.4333,19.59302,2.50E-02,9.93E-03,-1
141,83.90599,751.4333,19.59161,2.47E-02,1.02E-02,-1
142,83.91068,751.7146,19.59348,2.46E-02,1.01E-02,-1
143,83.89192,751.3708,19.59356,2.40E-02,1.06E-02,-1
144,83.9138,750.9021,19.59231,2.42E-02,1.05E-02,-1
145,83.86848,751.2146,19.59255,2.39E-02,0.0111783,-1
146,83.91224,751.6208,19.59013,0.0237035,0.0114533,-1
147,83.9013,750.8708,19.59106,0.023641,1.12E-02,-1
148,83.91224,751.4958,19.59036,0.023391,1.19E-02,-1
149,83.9138,751.6208,19.59122,0.0233285,1.18E-02,-1
150,83.89192,751.7458,19.59192,2.32E-02,1.26E-02,-1
151,83.91536,751.9021,19.59106,2.31E-02,1.30E-02,-1
152,83.89661,751.7771,19.58942,2.29E-02,1.31E-02,-1
153,83.88879,751.4958,19.58958,2.31E-02,1.35E-02,-1
154,83.86848,751.3708,19.58989,2.28E-02,1.37E-02,-1
155,83.87318,751.3396,19.58911,2.26E-02,1.40E-02,-1
156,83.91068,751.2146,19.58942,2.26E-02,1.42E-02,-1
157,83.88411,751.0271,19.5877,2.27E-02,1.46E-02,-1
158,83.90599,751.4333,19.58661,2.25E-02,1.46E-02,-1
159,83.88567,751.4646,19.5863,2.25E-02,0.0148471,-1
160,83.90286,751.6208,19.58567,2.26E-02,1.51E-02,-1
161,83.87786,750.9333,19.5877,2.24E-02,1.54E-02,-1
162,83.89037,751.4333,19.58645,2.23E-02,1.54E-02,-1
163,83.90599,751.4646,19.58747,2.23E-02,1.57E-02,-1
164,83.91224,751.9021,19.58614,2.23E-02,1.57E-02,-1
165,83.89037,751.4333,19.58716,2.21E-02,1.55E-02,-1
166,83.90755,751.8396,19.58481,2.20E-02,1.57E-02,-1
167,83.90755,751.6521,19.58692,2.23E-02,1.62E-02,-1
168,83.90443,751.1833,19.58552,2.22E-02,1.62E-02,-1
169,83.90599,751.4958,19.58638,2.22E-02,1.64E-02,-1
170,83.91224,751.6521,19.58622,2.19E-02,1.64E-02,-1
171,83.89037,751.5896,19.58559,2.21E-02,1.67E-02,-1
172,83.90443,751.5271,19.58591,2.22E-02,1.67E-02,-1
173,83.9013,751.0271,19.58591,2.22E-02,1.67E-02,-1
174,83.89973,751.8396,19.58622,2.22E-02,1.67E-02,-1
175,83.87473,751.4646,19.58411,2.20E-02,1.66E-02,-1
176,83.90755,751.8083,19.58434,2.22E-02,1.65E-02,-1
177,83.88099,751.6208,19.58372,2.22E-02,1.59E-02,-1
178,83.88567,751.7146,19.582,2.20E-02,1.59E-02,-1
179,83.87943,751.5271,19.5838,2.21E-02,1.56E-02,-1
180,83.88411,751.6833,19.58458,2.21E-02,1.53E-02,-1
181,83.8763,750.9646,19.58434,2.21E-02,1.50E-02,-1
182,83.87161,751.4958,19.58521,2.21E-02,1.49E-02,-1
183,83.90911,751.7146,19.5831,2.21E-02,1.45E-02,-1
184,83.9013,751.8083,19.58591,2.20E-02,1.42E-02,-1
185,83.9013,751.5271,19.58513,2.21E-02,1.37E-02,-1
186,83.89192,751.8083,19.58622,2.20E-02,1.34E-02,-1
187,83.9013,751.4958,19.58559,2.20E-02,1.30E-02,-1
188,83.89349,751.7771,19.58677,2.20E-02,1.28E-02,-1
189,83.91068,751.4646,19.58614,2.18E-02,1.24E-02,-1
190,83.90755,751.0583,19.58474,2.16E-02,1.22E-02,-1
191,83.90286,751.8396,19.587,2.15E-02,1.23E-02,-1
192,83.86536,751.1208,19.58755,2.16E-02,1.22E-02,-1
193,83.89192,751.6521,19.58669,2.17E-02,1.17E-02,-1
194,83.91068,751.6521,19.58739,2.15E-02,1.15E-02,-1
195,83.90443,751.6833,19.5888,2.14E-02,0.0112658,-1
196,83.89661,751.6521,19.58685,2.14E-02,1.12E-02,-1
197,83.90599,751.6833,19.58817,2.13E-02,1.09E-02,78
198,83.9013,750.9333,19.58747,2.11E-02,1.09E-02,-1
199,83.89661,751.7146,19.58849,2.10E-02,0.0112658,-1
200,83.89505,751.6208,19.5877,2.11E-02,1.12E-02,-1
201,83.88411,751.6208,19.58677,2.10E-02,1.17E-02,-1
202,83.88255,751.3396,19.58802,2.11E-02,1.18E-02,-1
203,83.88411,751.2771,19.58544,2.10E-02,1.21E-02,-1
204,83.89661,751.7771,19.58778,2.10E-02,1.24E-02,-1
205,83.87161,751.0583,19.58567,2.10E-02,1.24E-02,-1
206,83.90286,751.4021,19.58677,2.10E-02,1.25E-02,70
